perf_id,airfoil_id,version_id,alpha_deg,reynolds_number,cl,cd,cm,source_type,is_anomaly
37,ag03,1,2,200000,0.208958,0.008713,-0.039374,generated_synthetic,0
38,ag03,1,4,200000,0.391010,0.012843,-0.043650,generated_synthetic,0
39,ag03,1,6,200000,0.603025,0.016744,-0.047112,generated_synthetic,0
40,ag03,1,8,200000,0.812222,0.024340,-0.052298,generated_synthetic,0
41,ag03,1,10,200000,0.988818,0.033696,-0.056182,generated_synthetic,0
42,ag03,1,12,200000,1.244837,0.046529,-0.059260,generated_synthetic,0
43,ag03,1,14,200000,1.180717,0.052469,-0.062268,generated_synthetic,0
44,ag03,1,16,200000,1.108570,0.057279,-0.067034,generated_synthetic,0
45,ag03,1,18,200000,1.097556,0.067842,-0.070387,generated_synthetic,0
46,ag03,1,-10,500000,-1.054816,0.034865,-0.015128,generated_synthetic,0
47,ag03,1,-8,500000,-0.850629,0.025211,-0.019045,generated_synthetic,0
48,ag03,1,-6,500000,-0.617771,0.016756,-0.022760,generated_synthetic,0
49,ag03,1,-4,500000,-0.446504,0.012121,-0.027273,generated_synthetic,0
50,ag03,1,-2,500000,-0.206681,0.008835,-0.030888,generated_synthetic,0
51,ag03,1,0,500000,0.000000,0.007418,-0.033979,generated_synthetic,0
52,ag03,1,2,500000,0.204945,0.009081,-0.038618,generated_synthetic,0
53,ag03,1,4,500000,0.427524,0.012232,-0.042756,generated_synthetic,0
54,ag03,1,6,500000,0.637279,0.017020,-0.046534,generated_synthetic,0
55,ag03,1,8,500000,0.864527,0.024098,-0.050208,generated_synthetic,0
56,ag03,1,10,500000,1.074437,0.033837,-0.054869,generated_synthetic,0
57,ag03,1,12,500000,1.251901,0.047322,-0.059101,generated_synthetic,0
58,ag03,1,14,500000,1.241478,0.053570,-0.062371,generated_synthetic,0
59,ag03,1,16,500000,1.116563,0.056597,-0.066285,generated_synthetic,0
60,ag03,1,18,500000,1.138984,0.066974,-0.071926,generated_synthetic,0
61,ag04,1,-10,50000,-0.931465,0.030542,-0.015013,generated_synthetic,0
62,ag04,1,-8,50000,-0.750183,0.022778,-0.019016,generated_synthetic,0
63,ag04,1,-6,50000,-0.569151,0.016569,-0.023010,generated_synthetic,0
64,ag04,1,-4,50000,-0.382811,0.012271,-0.027257,generated_synthetic,0
65,ag04,1,-2,50000,-0.194112,0.009072,-0.030381,generated_synthetic,0
66,ag04,1,0,50000,0.000000,0.008379,-0.034545,generated_synthetic,0
67,ag04,1,2,50000,0.188475,0.008512,-0.038977,generated_synthetic,0
68,ag04,1,4,50000,0.371943,0.011875,-0.043324,generated_synthetic,0
69,ag04,1,6,50000,0.570794,0.016858,-0.047510,generated_synthetic,0
70,ag04,1,8,50000,0.744486,0.023962,-0.050474,generated_synthetic,0
71,ag04,1,10,50000,0.933015,0.033310,-0.054244,generated_synthetic,0
72,ag04,1,12,50000,1.088455,0.042691,-0.059863,generated_synthetic,0
73,ag04,1,14,50000,1.075430,0.048868,-0.062978,generated_synthetic,0
74,ag04,1,16,50000,1.096462,0.056621,-0.069316,generated_synthetic,0
75,ag04,1,18,50000,1.011442,0.068160,-0.069383,generated_synthetic,0
76,ag04,1,-10,100000,-0.978493,0.032715,-0.015374,generated_synthetic,0
77,ag04,1,-8,100000,-0.791075,0.023613,-0.018571,generated_synthetic,0
78,ag04,1,-6,100000,-0.564741,0.016523,-0.021982,generated_synthetic,0
79,ag04,1,-4,100000,-0.388187,0.012296,-0.026981,generated_synthetic,0
80,ag04,1,-2,100000,-0.199853,0.009063,-0.030905,generated_synthetic,0
81,ag04,1,0,100000,0.000000,0.008012,-0.034768,generated_synthetic,0
82,ag04,1,2,100000,0.196901,0.008904,-0.038893,generated_synthetic,0
83,ag04,1,4,100000,0.401916,0.011198,-0.043311,generated_synthetic,0
84,ag04,1,6,100000,0.600353,0.017608,-0.047851,generated_synthetic,0
85,ag04,1,8,100000,0.750382,0.023864,-0.051581,generated_synthetic,0
86,ag04,1,10,100000,0.978584,0.032544,-0.054548,generated_synthetic,0
87,ag04,1,12,100000,1.167794,0.043830,-0.058094,generated_synthetic,0
88,ag04,1,14,100000,1.140473,0.051069,-0.061992,generated_synthetic,0
89,ag04,1,16,100000,1.085778,0.059541,-0.066394,generated_synthetic,0
90,ag04,1,18,100000,1.026458,0.070977,-0.070657,generated_synthetic,0
91,ag04,1,-10,200000,-0.992407,0.033684,-0.014838,generated_synthetic,0
92,ag04,1,-8,200000,-0.792671,0.024669,-0.018799,generated_synthetic,0
93,ag04,1,-6,200000,-0.594665,0.017546,-0.022712,generated_synthetic,0
94,ag04,1,-4,200000,-0.407729,0.012151,-0.026331,generated_synthetic,0
95,ag04,1,-2,200000,-0.201510,0.000449,-0.030239,generated_synthetic,1
96,ag04,1,0,200000,0.000000,0.007621,-0.034901,generated_synthetic,0
97,ag04,1,2,200000,0.199828,0.009116,-0.038116,generated_synthetic,0
98,ag04,1,4,200000,0.392314,0.011497,-0.042657,generated_synthetic,0
99,ag04,1,6,200000,0.608059,0.017576,-0.047074,generated_synthetic,0
100,ag04,1,8,200000,0.828002,0.023575,-0.052760,generated_synthetic,0
101,ag04,1,10,200000,1.048430,0.033969,-0.055604,generated_synthetic,0
102,ag04,1,12,200000,1.215515,0.045335,-0.061457,generated_synthetic,0
103,ag04,1,14,200000,1.227284,0.052026,-0.063042,generated_synthetic,0
104,ag04,1,16,200000,1.061395,0.056663,-0.066035,generated_synthetic,0
105,ag04,1,18,200000,1.074001,0.068487,-0.071038,generated_synthetic,0
106,ag04,1,-10,500000,-1.052406,-0.033664,-0.014852,generated_synthetic,1
107,ag04,1,-8,500000,-0.869725,0.024696,-0.019405,generated_synthetic,0
108,ag04,1,-6,500000,-0.631323,0.016953,-0.022323,generated_synthetic,0
109,ag04,1,-4,500000,-0.437238,0.012011,-0.026395,generated_synthetic,0
110,ag04,1,-2,500000,-0.210657,0.009137,-0.031048,generated_synthetic,0
111,ag04,1,0,500000,0.000000,0.007646,-0.034934,generated_synthetic,0
112,ag04,1,2,500000,0.214504,0.008960,-0.039103,generated_synthetic,0
113,ag04,1,4,500000,0.424438,0.011847,-0.042491,generated_synthetic,0
114,ag04,1,6,500000,0.645950,0.018262,-0.047131,generated_synthetic,0
115,ag04,1,8,500000,0.839852,0.023518,-0.051411,generated_synthetic,0
116,ag04,1,10,500000,1.042430,0.034726,-0.055661,generated_synthetic,0
117,ag04,1,12,500000,1.265696,0.044477,-0.061039,generated_synthetic,0
118,ag04,1,14,500000,1.241825,0.053159,-0.062820,generated_synthetic,0
119,ag04,1,16,500000,1.176578,0.056556,-0.067377,generated_synthetic,0
120,ag04,1,18,500000,1.147917,0.071429,-0.071381,generated_synthetic,0
121,ag08,1,-10,50000,-0.917242,0.033989,-0.014944,generated_synthetic,0
122,ag08,1,-8,50000,-0.764658,0.022522,-0.019045,generated_synthetic,0
123,ag08,1,-6,50000,-0.563190,0.016744,-0.022941,generated_synthetic,0
124,ag08,1,-4,50000,-0.371156,0.011878,-0.027045,generated_synthetic,0
125,ag08,1,-2,50000,-0.185909,0.008670,-0.030674,generated_synthetic,0
126,ag08,1,0,50000,0.000000,0.008095,-0.034658,generated_synthetic,0
127,ag08,1,2,50000,0.182246,0.009164,-0.038384,generated_synthetic,0
128,ag08,1,4,50000,0.374184,0.011515,-0.042712,generated_synthetic,0
129,ag08,1,6,50000,0.563251,0.016396,-0.047341,generated_synthetic,0
130,ag08,1,8,50000,0.738495,0.022481,-0.049936,generated_synthetic,0
131,ag08,1,10,50000,0.939787,0.032430,-0.054379,generated_synthetic,0
132,ag08,1,12,50000,1.166064,0.042020,-0.058624,generated_synthetic,0
133,ag08,1,14,50000,1.084629,0.049060,-0.063989,generated_synthetic,0
134,ag08,1,16,50000,1.023350,0.057387,-0.065206,generated_synthetic,0
135,ag08,1,18,50000,1.040691,0.066430,-0.069791,generated_synthetic,0
136,ag08,1,-10,100000,-0.967913,0.032501,-0.014823,generated_synthetic,0
137,ag08,1,-8,100000,-0.747356,0.022254,-0.019034,generated_synthetic,0
138,ag08,1,-6,100000,-0.594723,0.017053,-0.022973,generated_synthetic,0
139,ag08,1,-4,100000,-0.405918,0.012141,-0.027205,generated_synthetic,0
140,ag08,1,-2,100000,-0.187192,0.009509,-0.030951,generated_synthetic,0
141,ag08,1,0,100000,0.000000,0.008435,-0.035163,generated_synthetic,0
142,ag08,1,2,100000,0.194689,0.008655,-0.039045,generated_synthetic,0
143,ag08,1,4,100000,0.380926,0.011944,-0.042205,generated_synthetic,0
144,ag08,1,6,100000,2.324661,0.016020,-0.046614,generated_synthetic,1
145,ag08,1,8,100000,0.776050,0.023452,-0.050922,generated_synthetic,0
146,ag08,1,10,100000,0.983605,0.032454,-0.054896,generated_synthetic,0
147,ag08,1,12,100000,1.144811,0.046564,-0.059870,generated_synthetic,0
148,ag08,1,14,100000,1.111298,0.049241,-0.062327,generated_synthetic,0
149,ag08,1,16,100000,1.036863,0.055368,-0.068478,generated_synthetic,0
150,ag08,1,18,100000,1.089572,0.067561,-0.070414,generated_synthetic,0
151,ag08,1,-10,200000,-1.019539,0.032197,-0.015079,generated_synthetic,0
152,ag08,1,-8,200000,-0.780233,0.023063,-0.019460,generated_synthetic,0
153,ag08,1,-6,200000,-0.613602,0.016897,-0.023207,generated_synthetic,0
154,ag08,1,-4,200000,-0.412986,0.012101,-0.027037,generated_synthetic,0
155,ag08,1,-2,200000,-0.206368,0.008796,-0.032000,generated_synthetic,0
156,ag08,1,0,200000,0.000000,0.008169,-0.035729,generated_synthetic,0
157,ag08,1,2,200000,0.204181,0.008377,-0.038564,generated_synthetic,0
158,ag08,1,4,200000,0.383933,0.012593,-0.043345,generated_synthetic,0
159,ag08,1,6,200000,0.611215,0.016455,-0.046769,generated_synthetic,0
160,ag08,1,8,200000,0.828644,0.023533,-0.050859,generated_synthetic,0
161,ag08,1,10,200000,1.008045,0.031764,-0.054767,generated_synthetic,0
162,ag08,1,12,200000,1.196537,0.043428,-0.059305,generated_synthetic,0
163,ag08,1,14,200000,1.178705,0.050662,-0.062567,generated_synthetic,0
164,ag08,1,16,200000,1.100244,0.056643,-0.067801,generated_synthetic,0
165,ag08,1,18,200000,1.068550,0.067386,-0.071173,generated_synthetic,0
166,ag08,1,-10,500000,-1.073924,0.033410,-0.014932,generated_synthetic,0
167,ag08,1,-8,500000,-0.831700,0.025085,-0.019018,generated_synthetic,0
168,ag08,1,-6,500000,-0.646134,0.017021,-0.023021,generated_synthetic,0
169,ag08,1,-4,500000,-0.403911,0.011914,-0.025962,generated_synthetic,0
170,ag08,1,-2,500000,-0.213777,0.008997,-0.031431,generated_synthetic,0
171,ag08,1,0,500000,0.000000,0.008294,-0.034509,generated_synthetic,0
172,ag08,1,2,500000,0.215125,0.009297,-0.040074,generated_synthetic,0
173,ag08,1,4,500000,0.414015,0.012132,-0.042953,generated_synthetic,0
174,ag08,1,6,500000,0.650020,0.017239,-0.045992,generated_synthetic,0
175,ag08,1,8,500000,0.838652,0.024073,-0.052155,generated_synthetic,0
176,ag08,1,10,500000,1.062353,0.032391,-0.055998,generated_synthetic,0
177,ag08,1,12,500000,1.260224,0.045024,-0.058385,generated_synthetic,0
178,ag08,1,14,500000,1.230967,0.053101,-0.062599,generated_synthetic,0
179,ag08,1,16,500000,1.112569,0.056733,-0.068572,generated_synthetic,0
180,ag08,1,18,500000,1.114117,0.069898,-0.071179,generated_synthetic,0
181,ag09,1,-10,50000,-0.958134,0.032194,-0.015000,generated_synthetic,0
182,ag09,1,-8,50000,-0.790744,0.023164,-0.019319,generated_synthetic,0
183,ag09,1,-6,50000,-0.548383,0.016358,-0.022999,generated_synthetic,0
184,ag09,1,-4,50000,-0.393694,0.011641,-0.026430,generated_synthetic,0
185,ag09,1,-2,50000,-0.186343,0.008830,-0.030590,generated_synthetic,0
186,ag09,1,0,50000,0.000000,0.007845,-0.034890,generated_synthetic,0
187,ag09,1,2,50000,0.184280,0.009000,-0.038650,generated_synthetic,0
188,ag09,1,4,50000,0.376173,0.011702,-0.043476,generated_synthetic,0
189,ag09,1,6,50000,0.572774,0.016826,-0.046979,generated_synthetic,0
190,ag09,1,8,50000,0.772246,0.022791,-0.050986,generated_synthetic,0
191,ag09,1,10,50000,0.930633,0.031347,-0.055357,generated_synthetic,0
192,ag09,1,12,50000,1.119479,0.043984,-0.058423,generated_synthetic,0
193,ag09,1,14,50000,1.122182,0.051996,-0.063800,generated_synthetic,0
194,ag09,1,16,50000,1.041589,0.057301,-0.068099,generated_synthetic,0
195,ag09,1,18,50000,1.045545,0.063440,-0.072159,generated_synthetic,0
196,ag09,1,-10,100000,-0.956678,0.032475,-0.014735,generated_synthetic,0
197,ag09,1,-8,100000,-0.772569,0.024539,-0.019049,generated_synthetic,0
198,ag09,1,-6,100000,-0.593093,0.016959,-0.022642,generated_synthetic,0
199,ag09,1,-4,100000,-0.393104,0.011762,-0.026944,generated_synthetic,0
200,ag09,1,-2,100000,-0.194652,0.008958,-0.031004,generated_synthetic,0
201,ag09,1,0,100000,0.000000,0.007866,-0.034514,generated_synthetic,0
202,ag09,1,2,100000,0.190259,0.008573,-0.038326,generated_synthetic,0
203,ag09,1,4,100000,0.383418,0.011784,-0.043264,generated_synthetic,0
204,ag09,1,6,100000,0.592779,0.016364,-0.046620,generated_synthetic,0
205,ag09,1,8,100000,0.770838,0.023287,-0.051771,generated_synthetic,0
206,ag09,1,10,100000,0.982226,0.030981,-0.055300,generated_synthetic,0
207,ag09,1,12,100000,1.190293,0.042904,-0.058849,generated_synthetic,0
208,ag09,1,14,100000,1.119890,0.052061,-0.062391,generated_synthetic,0
209,ag09,1,16,100000,1.064879,0.059650,-0.066880,generated_synthetic,0
210,ag09,1,18,100000,1.078741,0.067187,-0.070295,generated_synthetic,0
211,ag09,1,-10,200000,-1.037599,0.032311,-0.015204,generated_synthetic,0
212,ag09,1,-8,200000,-0.807805,0.024117,-0.018996,generated_synthetic,0
213,ag09,1,-6,200000,-0.587611,0.017452,-0.022820,generated_synthetic,0
214,ag09,1,-4,200000,-0.393929,0.012445,-0.027231,generated_synthetic,0
215,ag09,1,-2,200000,-0.205920,0.009326,-0.030925,generated_synthetic,0
216,ag09,1,0,200000,0.000000,0.007859,-0.035018,generated_synthetic,0
217,ag09,1,2,200000,0.204463,0.008950,-0.039374,generated_synthetic,0
218,ag09,1,4,200000,0.397802,0.012342,-0.041894,generated_synthetic,0
219,ag09,1,6,200000,0.606747,0.016754,-0.047865,generated_synthetic,0
220,ag09,1,8,200000,0.786538,0.023459,-0.049760,generated_synthetic,0
221,ag09,1,10,200000,1.000350,0.032274,-0.053869,generated_synthetic,0
222,ag09,1,12,200000,1.206513,0.046612,-0.058681,generated_synthetic,0
223,ag09,1,14,200000,1.173890,0.047921,-0.064234,generated_synthetic,0
224,ag09,1,16,200000,1.078553,0.057131,-0.065766,generated_synthetic,0
225,ag09,1,18,200000,1.094652,0.066609,-0.070423,generated_synthetic,0
226,ag09,1,-10,500000,-1.054116,0.034507,-0.014543,generated_synthetic,0
227,ag09,1,-8,500000,-0.878068,0.025066,-0.019412,generated_synthetic,0
228,ag09,1,-6,500000,-0.636960,0.018436,-0.022506,generated_synthetic,0
229,ag09,1,-4,500000,-0.434989,0.012304,-0.026758,generated_synthetic,0
230,ag09,1,-2,500000,-0.210438,0.009352,-0.031187,generated_synthetic,0
231,ag09,1,0,500000,0.000000,0.008346,-0.034651,generated_synthetic,0
232,ag09,1,2,500000,0.212182,0.008793,-0.038593,generated_synthetic,0
233,ag09,1,4,500000,0.425257,0.011354,-0.041445,generated_synthetic,0
234,ag09,1,6,500000,0.659533,0.016664,-0.047595,generated_synthetic,0
235,ag09,1,8,500000,0.836162,0.024328,-0.050997,generated_synthetic,0
236,ag09,1,10,500000,1.096443,0.034853,-0.055722,generated_synthetic,0
237,ag09,1,12,500000,1.349298,0.045934,-0.059487,generated_synthetic,0
238,ag09,1,14,500000,1.263959,0.052761,-0.062353,generated_synthetic,0
239,ag09,1,16,500000,1.149022,0.059606,-0.064902,generated_synthetic,0
240,ag09,1,18,500000,1.099862,0.070663,-0.070149,generated_synthetic,0
241,ag10,1,-10,50000,-0.978684,0.032840,-0.015135,generated_synthetic,0
242,ag10,1,-8,50000,-0.754480,0.023139,-0.018981,generated_synthetic,0
243,ag10,1,-6,50000,-0.561308,0.016382,-0.023354,generated_synthetic,0
244,ag10,1,-4,50000,-0.370685,0.012055,-0.026909,generated_synthetic,0
245,ag10,1,-2,50000,-0.185020,0.009258,-0.031226,generated_synthetic,0
246,ag10,1,0,50000,0.000000,0.008038,-0.034647,generated_synthetic,0
247,ag10,1,2,50000,0.189456,0.009347,-0.039133,generated_synthetic,0
248,ag10,1,4,50000,0.375531,0.012306,-0.041958,generated_synthetic,0
249,ag10,1,6,50000,0.579602,0.016249,-0.046884,generated_synthetic,0
250,ag10,1,8,50000,0.755589,0.024256,-0.050894,generated_synthetic,0
251,ag10,1,10,50000,0.929493,0.032494,-0.055300,generated_synthetic,0
252,ag10,1,12,50000,1.162717,0.041012,-0.058497,generated_synthetic,0
253,ag10,1,14,50000,1.109111,0.050354,-0.064759,generated_synthetic,0
254,ag10,1,16,50000,1.046108,0.058061,-0.065675,generated_synthetic,0
255,ag10,1,18,50000,1.000296,0.065035,-0.072067,generated_synthetic,0
256,ag10,1,-10,100000,-0.966779,0.033092,-0.014957,generated_synthetic,0
257,ag10,1,-8,100000,-0.797343,0.023054,-0.019193,generated_synthetic,0
258,ag10,1,-6,100000,-0.592374,0.017247,-0.023158,generated_synthetic,0
259,ag10,1,-4,100000,-0.394835,0.011874,-0.027132,generated_synthetic,0
260,ag10,1,-2,100000,-0.190243,0.008738,-0.030410,generated_synthetic,0
261,ag10,1,0,100000,0.000000,0.008273,-0.034468,generated_synthetic,0
262,ag10,1,2,100000,0.189966,0.009118,-0.038905,generated_synthetic,0
263,ag10,1,4,100000,0.389848,0.012201,-0.042562,generated_synthetic,0
264,ag10,1,6,100000,0.580826,0.017191,-0.049210,generated_synthetic,0
265,ag10,1,8,100000,0.768807,0.024349,-0.051921,generated_synthetic,0
266,ag10,1,10,100000,0.972467,0.034131,-0.054861,generated_synthetic,0
267,ag10,1,12,100000,1.176820,0.043219,-0.060775,generated_synthetic,0
268,ag10,1,14,100000,1.158460,0.051841,-0.062030,generated_synthetic,0
269,ag10,1,16,100000,1.066131,0.057262,-0.066245,generated_synthetic,0
270,ag10,1,18,100000,1.027273,0.069367,-0.071335,generated_synthetic,0
271,ag10,1,-10,200000,-1.031185,0.032888,-0.015283,generated_synthetic,0
272,ag10,1,-8,200000,-0.800678,0.024318,-0.018843,generated_synthetic,0
273,ag10,1,-6,200000,-0.617406,0.017183,-0.023275,generated_synthetic,0
274,ag10,1,-4,200000,-0.403644,0.012384,-0.026648,generated_synthetic,0
275,ag10,1,-2,200000,-0.198181,0.008981,-0.031753,generated_synthetic,0
276,ag10,1,0,200000,0.000000,0.007830,-0.035040,generated_synthetic,0
277,ag10,1,2,200000,0.202401,0.009197,-0.038294,generated_synthetic,0
278,ag10,1,4,200000,0.404722,0.011292,-0.043073,generated_synthetic,0
279,ag10,1,6,200000,0.573387,0.017149,-0.046375,generated_synthetic,0
280,ag10,1,8,200000,0.797953,0.024669,-0.050733,generated_synthetic,0
281,ag10,1,10,200000,0.986608,0.032591,-0.055504,generated_synthetic,0
282,ag10,1,12,200000,1.227279,0.043969,-0.058624,generated_synthetic,0
283,ag10,1,14,200000,1.192352,0.053518,-0.064711,generated_synthetic,0
284,ag10,1,16,200000,1.048293,0.057146,-0.067025,generated_synthetic,0
285,ag10,1,18,200000,1.091277,0.066059,-0.071076,generated_synthetic,0
286,ag10,1,-10,500000,-1.042255,0.035101,-0.015165,generated_synthetic,0
287,ag10,1,-8,500000,-0.846507,0.026035,-0.019255,generated_synthetic,0
288,ag10,1,-6,500000,-0.649291,0.017810,-0.023221,generated_synthetic,0
289,ag10,1,-4,500000,-0.425875,0.011941,-0.027468,generated_synthetic,0
290,ag10,1,-2,500000,-0.210590,0.008591,-0.030789,generated_synthetic,0
291,ag10,1,0,500000,0.000000,0.008345,-0.034701,generated_synthetic,0
292,ag10,1,2,500000,0.213762,0.008749,-0.039141,generated_synthetic,0
293,ag10,1,4,500000,0.433370,-0.012406,-0.043163,generated_synthetic,1
294,ag10,1,6,500000,0.622761,0.017539,-0.047109,generated_synthetic,0
295,ag10,1,8,500000,0.841713,0.024324,-0.051042,generated_synthetic,0
296,ag10,1,10,500000,1.031806,0.033990,-0.053742,generated_synthetic,0
297,ag10,1,12,500000,1.262935,0.043628,-0.056832,generated_synthetic,0
298,ag10,1,14,500000,1.289048,0.053521,-0.061833,generated_synthetic,0
299,ag10,1,16,500000,1.124615,0.060611,-0.066500,generated_synthetic,0
300,ag10,1,18,500000,1.150805,0.070980,-0.068709,generated_synthetic,0
301,ag11,1,-10,50000,-0.954263,0.032039,-0.015262,generated_synthetic,0
302,ag11,1,-8,50000,-0.758599,0.023637,-0.018423,generated_synthetic,0
303,ag11,1,-6,50000,-0.572366,0.016232,-0.023614,generated_synthetic,0
304,ag11,1,-4,50000,-0.384814,0.011896,-0.026359,generated_synthetic,0
305,ag11,1,-2,50000,-0.186908,0.009162,-0.031237,generated_synthetic,0
306,ag11,1,0,50000,0.000000,0.007873,-0.034599,generated_synthetic,0
307,ag11,1,2,50000,0.188558,0.009015,-0.039486,generated_synthetic,0
308,ag11,1,4,50000,0.354047,0.011401,-0.043062,generated_synthetic,0
309,ag11,1,6,50000,0.581797,0.016246,-0.045532,generated_synthetic,0
310,ag11,1,8,50000,0.756332,0.024108,-0.050938,generated_synthetic,0
311,ag11,1,10,50000,0.949449,0.031559,-0.053361,generated_synthetic,0
312,ag11,1,12,50000,1.110111,0.043119,-0.059250,generated_synthetic,0
313,ag11,1,14,50000,1.101473,0.050005,-0.063495,generated_synthetic,0
314,ag11,1,16,50000,1.044071,0.058573,-0.067587,generated_synthetic,0
315,ag11,1,18,50000,1.042680,0.064684,-0.072383,generated_synthetic,0
316,ag11,1,-10,100000,-0.948651,0.032795,-0.014762,generated_synthetic,0
317,ag11,1,-8,100000,-0.760839,0.023692,-0.019363,generated_synthetic,0
318,ag11,1,-6,100000,-0.605851,0.017192,-0.022723,generated_synthetic,0
319,ag11,1,-4,100000,-0.394358,0.011626,-0.026285,generated_synthetic,0
320,ag11,1,-2,100000,-0.188563,0.008836,-0.031198,generated_synthetic,0
321,ag11,1,0,100000,0.000000,0.008429,-0.035431,generated_synthetic,0
322,ag11,1,2,100000,0.196188,0.008668,-0.037691,generated_synthetic,0
323,ag11,1,4,100000,0.381194,0.011789,-0.041888,generated_synthetic,0
324,ag11,1,6,100000,0.561778,0.016263,-0.046765,generated_synthetic,0
325,ag11,1,8,100000,0.785504,0.022617,-0.050327,generated_synthetic,0
326,ag11,1,10,100000,0.992948,0.032655,-0.055635,generated_synthetic,0
327,ag11,1,12,100000,1.158630,0.043849,-0.058783,generated_synthetic,0
328,ag11,1,14,100000,1.177963,0.051638,-0.062841,generated_synthetic,0
329,ag11,1,16,100000,1.037616,0.057922,-0.066658,generated_synthetic,0
330,ag11,1,18,100000,1.039052,0.068395,-0.070971,generated_synthetic,0
331,ag11,1,-10,200000,-1.024305,0.031506,-0.014837,generated_synthetic,0
332,ag11,1,-8,200000,-0.817897,0.024888,-0.019415,generated_synthetic,0
333,ag11,1,-6,200000,-0.596716,0.016633,-0.023329,generated_synthetic,0
334,ag11,1,-4,200000,-0.394786,0.011796,-0.027295,generated_synthetic,0
335,ag11,1,-2,200000,-0.198955,0.008735,-0.031050,generated_synthetic,0
336,ag11,1,0,200000,0.000000,0.007931,-0.034515,generated_synthetic,0
337,ag11,1,2,200000,0.197392,0.009065,-0.039256,generated_synthetic,0
338,ag11,1,4,200000,0.396634,0.011535,-0.042817,generated_synthetic,0
339,ag11,1,6,200000,0.600317,0.016565,-0.046697,generated_synthetic,0
340,ag11,1,8,200000,0.826755,0.023454,-0.050393,generated_synthetic,0
341,ag11,1,10,200000,0.995290,0.033795,-0.056217,generated_synthetic,0
342,ag11,1,12,200000,1.243648,0.041402,-0.058930,generated_synthetic,0
343,ag11,1,14,200000,1.196170,0.053652,-0.063261,generated_synthetic,0
344,ag11,1,16,200000,1.089102,0.059454,-0.066856,generated_synthetic,0
345,ag11,1,18,200000,1.087926,0.068424,-0.071963,generated_synthetic,0
346,ag11,1,-10,500000,-1.069801,0.035293,-0.015223,generated_synthetic,0
347,ag11,1,-8,500000,-0.867680,0.023565,-0.018676,generated_synthetic,0
348,ag11,1,-6,500000,-0.640441,0.017490,-0.023183,generated_synthetic,0
349,ag11,1,-4,500000,-0.433963,0.012009,-0.026724,generated_synthetic,0
350,ag11,1,-2,500000,-0.208799,0.009153,-0.031215,generated_synthetic,0
